"Compound","Compound_ID","Formula","Description","Retention_time_min","mz","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"NegM2_0001","NegM2_CMP_018","C20H24N4O5","Synthetic feature 1",3.203,911.8872,50602,53042.2,59799.6,54719,35468.6,39804.2,53027.3,67424.8,47227.9,60092.1,40363.1,72840.2,50581.7,53182.7,43837.7,73976.6,48801.1,39665.9,45311.7,57617,54970.5,46550.9,54896.5,70130,84079.5,69366.8,45005.7,94794.6,72888.5,82350.1
"NegM2_0002","NegM2_CMP_032","C30H6N3O1","Synthetic feature 2",1.204,568.5235,239898.7,273004.6,316552.9,217789.7,331229.9,244508.3,226260,241231.7,213148.1,238799.6,268192,262497.1,272044,246627.4,299201.3,225481.8,174823.6,181021.6,123384.9,218044.7,259974.5,0,219018.5,236130.4,175708.5,155748,166775.1,186619.9,202374,166526.9
"NegM2_0003","NegM2_CMP_075","C7H26N4O6","Synthetic feature 3",7.35,485.9253,10388302.2,10938275,10361156.8,10574715.6,11651990.4,11630672.4,11564126.4,11771039,8818827.6,9725230.3,8144653.6,8194184.1,8825360.6,7827826.1,12124891,16672497.6,22344601.9,18403865.8,16775748.6,19787216.3,31280169.9,24041512.8,21751230.8,19197355.6,13854811,13714083.1,25099669.3,24497509.6,16718086.5,19846827.1
"NegM2_0004","NegM2_CMP_036","C19H49N0O3","Synthetic feature 4",13.591,649.857,1487187,1674901.6,1903676.4,2621394.8,2705152.6,2328857.2,1124351.7,0,2008979,0,2400818.9,2056702.6,1786502.7,2367768.5,1663109,1290660.9,1114260.4,0,0,0,1278502,1138449.2,1377756.7,1480285.5,1210055.3,0,1691733.4,1016852.6,1183819.2,0
"NegM2_0005","NegM2_CMP_046","C24H41N1O7","Synthetic feature 5",2.87,821.7698,237112.1,282809.6,254378.2,156605,256450,2616323.8,3132816.6,3840243.8,3014604.7,2415884.3,219564.2,336553.9,280909.6,0,238211.3,2135451.1,1638275.5,1604185.4,1460317.9,1418833.1,150505.4,155383,155904.5,124988.5,145142.1,1641003,3527201,1224326.9,1862268.4,2510466.3
"NegM2_0006","NegM2_CMP_029","C27H36N3O1","Synthetic feature 6",0.794,985.6329,332313.3,323999.9,271019.3,460340.4,350311.3,0,0,0,0,0,344071,0,0,456349.3,0,2471158.3,2237232.5,2066737.7,2248098.4,3073643.8,492759.3,558965.5,453736.4,415191.4,470862.1,0,0,0,0,0
"NegM2_0007","NegM2_CMP_046","C15H10N0O6","Synthetic feature 7",8.258,589.8043,421434.2,242928.9,309869.6,390771.8,229248.7,259651.8,229751.2,581042.3,230728.7,274288.9,322768.2,235328.1,300835.2,342866.8,262135.6,79632.2,92115.2,123395.8,165000.5,166509.9,110530.4,142515.5,95583.7,115806.9,124967.4,94670.4,155811.9,131984.5,84470,139069.7
"NegM2_0008","NegM2_CMP_061","C7H20N1O7","Synthetic feature 8",15.978,593.4271,1407850.7,1673755.8,1342387.3,0,1670236.2,1222085.3,1715597.5,1196444.5,1928062.9,1429553.6,0,1700617.1,2503581.2,1874175.2,1490383.8,2369747.4,2075500.7,2685153.5,2293725.5,0,1739467.7,2600652.5,2516025.6,0,1941646.5,0,3497627.2,1491933.9,0,0
"NegM2_0009","NegM2_CMP_066","C19H16N2O5","Synthetic feature 9",10.012,581.0738,847179.9,1585932.6,1157579.2,1253047.1,1801017.6,2023315,0,1766387.9,1991900.4,2044353.6,1734134.7,1571788.8,1520721.6,1909055.8,1142188.3,1049125.9,1044803,1260974.5,1108899.4,884654.6,1273916,1871620.4,885065,820913.1,1037316.1,1064586.9,1371187.5,958883.8,989186.4,1280644.3
"NegM2_0010","NegM2_CMP_065","C27H39N4O1","Synthetic feature 10",13.345,800.2595,8602859.9,6191912.5,7906116.8,7529555.4,5686979,2715444,3143315,4539751.7,3573603.9,4208844.4,6455666.4,6603246.2,6083606.8,8842288.8,8138496.2,1504572.1,1162495.3,1327329,1328399.3,1497397.3,1592301.7,2781705.5,3815288.8,3416381.2,1558900.5,1170656.2,1541412,1043597.4,1159100.3,1150530
"NegM2_0011","NegM2_CMP_030","C28H40N3O2","Synthetic feature 11",9.774,485.6561,3710938.2,3325431.9,4448957,3283593.3,2608041.7,3340625.4,3478666.8,4914038.4,0,2681922.2,2672574.8,2967798.7,3628394,2736830.1,1971716.9,5295913.9,3113649,6023291.2,4522585.3,6051805.5,3111941.5,4262218.6,0,3568557.7,3736409.8,4280390.6,6491211.6,4261282.4,0,0
"NegM2_0012","NegM2_CMP_068","C26H10N4O7","Synthetic feature 12",13.539,556.6628,0,1363971.9,0,2555764.9,1558109,2373555.9,1472264.4,1782627.2,1335154.1,0,1180275.4,2189656.4,0,0,2977203.9,2675612.8,4117821.2,5640841,3918126.6,4015307.4,0,2690509.9,3493008.1,2436008.2,4668728.2,2866352.9,0,0,2974078.5,0
"NegM2_0013","NegM2_CMP_072","C12H16N0O8","Synthetic feature 13",14.318,854.5181,5071346.9,2570712.4,4806095.7,4930592.1,2872889.9,3553022.3,2749575.7,2751564.9,2894996.2,3229647.9,2779758.6,6457302.9,3524093.9,4205665.1,3634464,0,1683416.2,2918104.1,4474048.7,2237880,4032231.6,3022660.6,3501580.4,2937739.2,3015914.1,2941205,2345191.3,4098351.4,1704402,3366440.7
"NegM2_0014","NegM2_CMP_065","C9H13N2O1","Synthetic feature 14",13.807,135.372,0,82014.1,135642.4,120266,112507.2,0,0,0,0,563968,92630.9,97987.2,116409.1,81891.6,58058.8,189396.6,322429,0,0,0,50515.5,62160.6,63311.4,62116.3,81402.9,232000.9,0,0,175455.6,204639.2
"NegM2_0015","NegM2_CMP_052","C19H10N1O4","Synthetic feature 15",13.862,511.399,1217749.6,1440215.9,1722711.9,1283149.7,1110003.2,883800.8,1169573.3,1591927.6,1028330.2,1236065.4,1833063.8,1291756,1643819.5,781320.9,1603529.9,4670531.8,3409759.7,2938395.2,4565898.6,4503581.6,3523510,4739679.7,3277706.4,3541989.7,3473987.1,2109435.3,4208982,4695029,3593859.5,2589622.1
"NegM2_0016","NegM2_CMP_048","C25H16N4O3","Synthetic feature 16",4.6,918.9952,3446178.3,3175566.2,4874727.4,3586017.4,2544061,4404290.8,3422767.1,2955022.7,3251058.5,4876806.3,3596238.8,3149170.9,3706955.3,2575963.8,4750714.6,2009026.3,1481775.6,2839413.5,1447962.7,1810045.1,1329211.8,2463711.6,2786042.6,1650014.1,1428284.2,2487110.1,2126425.6,1955743,1979220.3,2332882.9
"NegM2_0017","NegM2_CMP_007","C30H47N4O9","Synthetic feature 17",14.21,813.1396,4150761.2,8712312.1,0,13244325.6,7995047.3,6027589.6,5991955.4,7977975.4,6872276.2,12752143,6394382.9,6321739.8,10424886.5,4852079.3,6978428.1,8842087.3,7903575.5,13849249.5,10385356.1,9959256.6,8924667.6,9339373.7,7080902.2,10051497.9,6029869.6,11073467.2,9861318.8,9421194.5,8945309.5,12043356.4
"NegM2_0018","NegM2_CMP_058","C10H27N3O8","Synthetic feature 18",12.419,468.454,1274623.2,1320216,914489.9,1586505.8,1786618.5,0,0,0,0,1065793.9,1985294.6,1187150.3,2381822.6,1686872.8,2151793.7,0,0,0,0,0,710969.3,406468.8,989140,477618.2,494057.9,0,597045.9,0,859230.4,0
"NegM2_0019","NegM2_CMP_035","C8H14N2O7","Synthetic feature 19",9.753,819.9213,2460198.7,2706882.6,1747656.7,2393101,2945901.8,3080338.2,2078267.2,2031945.6,2347291.1,1449272.4,2671590.3,3759316.1,2003645.3,3128306.2,3810757.8,471491.7,467150.2,582012,322787.4,315190.2,312866.9,367017.5,249647.3,354570.5,452529,542881.4,424984.3,487204.3,290106.2,508516.5
