"Compound","Compound_ID","Formula","Description","Retention_time_min","mz","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30"
"PosM1_0001","PosM1_CMP_053","C7H48N1O6","Synthetic feature 1",8.071,795.9751,528156.1,317373.9,598674.2,406297.8,341178.5,475764.8,306139.5,803533,281210.7,623591.9,328955.3,436441.9,750649.9,479615.5,386039.5,784078.6,916043.3,651334.6,888593.6,1205195.1,774674,949381,582773.1,700472.1,734224.1,1029882.3,1360384.6,937419.1,927490.2,851850.5
"PosM1_0002","PosM1_CMP_019","C18H10N4O7","Synthetic feature 2",4.95,716.4524,2004795.4,2663585.1,2245147.2,1077645.2,3014216.2,1320850.6,0,0,0,0,1200774.4,1446169.1,2275355.8,1644191.5,2642086.3,0,1937478.6,0,0,0,2043323.4,1580648.7,1604590.8,2726164,1424163.8,0,0,0,0,0
"PosM1_0003","PosM1_CMP_006","C28H23N3O4","Synthetic feature 3",0.862,755.5934,855260.2,0,721844,729313,785628.1,1650789.2,1399752.7,2037778.1,1411809.9,1189176.2,1162191.8,1149582.4,1037534,857535.4,0,728915.9,1782076,1405924.9,1468955.3,1226561.7,1323374.9,1055669,1369756.6,1270436.9,975987.6,1646429,1748813.7,1702715.9,1289158.6,1316148.9
"PosM1_0004","PosM1_CMP_009","C13H29N5O4","Synthetic feature 4",16.768,987.1576,467906.1,496525.7,582726.2,505510.6,350251.4,0,0,0,0,0,576625.7,714282.6,0,438774.1,428196.7,0,0,1126813.3,715677,1548580.7,780439.4,409894.3,447012.9,436814.7,863318.9,1433947.8,1258518.1,0,0,0
"PosM1_0005","PosM1_CMP_040","C24H49N1O5","Synthetic feature 5",8.078,813.324,583285.4,1065606.1,338721,824422.1,449919.2,0,0,0,0,677098,0,724999.2,571392,486395.4,388465,0,0,0,0,0,354051.6,323086.8,413961.8,387233.6,221755.5,0,0,0,0,0
"PosM1_0006","PosM1_CMP_014","C9H15N3O6","Synthetic feature 6",6.31,952.3438,13043183.6,8989075.7,0,11872463,9609490.4,17457524.2,0,0,0,0,15060322.8,12281306.3,14766928.5,8144363.7,10506989.7,0,0,0,16750487,0,20072862.7,15683786.6,12746641.1,17015256.7,17980784.1,14753437.3,0,13847603.2,0,0
"PosM1_0007","PosM1_CMP_034","C10H9N2O5","Synthetic feature 7",17.724,865.8722,937826.6,959010.5,0,1223137.5,697451,413875.2,0,0,0,0,1041484.4,910920.6,555256.6,845618.9,678000.1,117025.4,78112.5,0,0,0,239553.4,256477.7,198919.4,270951.3,339051.5,0,0,97452.5,0,0
"PosM1_0008","PosM1_CMP_001","C8H34N0O1","Synthetic feature 8",14.416,604.2194,1949868.5,1335217.7,1606857.7,1643001.4,1561065.2,2785937.7,2113902.9,1822685.4,2402447.8,3704056.7,1544084.3,1452637.4,1378710.9,1513099.2,1134414.7,2101050.8,1484971.1,1310404.4,1218310.3,2114857.3,953773.9,975388.8,1333798.4,1482563.1,981432.8,1901366.1,1364291.2,1610289.1,2063486.9,1787638.2
"PosM1_0009","PosM1_CMP_056","C13H41N4O4","Synthetic feature 9",9.442,156.394,1658813.1,812745,975000.2,1337826.5,959332.3,0,715456.5,0,737557.6,0,1585790,1025092.8,686761.5,1332287.1,0,0,0,4358180.6,0,3959617,5588977.3,3353162.1,3296929.9,4979035.6,2805299.5,0,0,0,0,4798347.7
"PosM1_0010","PosM1_CMP_042","C25H38N5O3","Synthetic feature 10",5.57,287.3055,397308.8,413312.7,357203.6,468161,321361.6,341004.7,421014.5,582820.7,339465,480217.2,424766.3,475564.9,393147.2,491243.2,339549.9,716711.6,732819.8,733088.3,968181,702791.5,459513,650841.2,515819.6,554193.7,861518.2,515239.8,666241.7,772081.9,901241,606722.3
"PosM1_0011","PosM1_CMP_020","C19H35N5O6","Synthetic feature 11",3.106,806.9931,813820.6,1265196.3,871814.8,941913.6,0,900654.8,1483540.6,930745,794604.1,1234898.8,1037235.6,901439.6,1019282.5,788742,1019947.2,3393985.3,6269683.8,5051004.1,2503270.6,5085370.7,4913901.5,2434983.7,3794173.6,2469321.1,2260970.7,3042561.8,2577184.9,4399453,4912589.9,5081651.8
"PosM1_0012","PosM1_CMP_062","C19H6N1O6","Synthetic feature 12",17.703,584.8523,993126.1,858685.1,1198486.5,1608000.8,1108119.1,1132155.8,1325996.9,1503216.8,1109251.4,1474655.2,1220399.4,1220309.3,1492792.8,1226815.2,787776.5,665954.1,736928.9,786933.4,808687.2,1298956.6,700749.7,534922.5,544104.8,1096193.6,862975.7,1046207.1,786671.4,779354.7,511641.5,517121.5
"PosM1_0013","PosM1_CMP_035","C7H26N2O1","Synthetic feature 13",1.295,936.0843,212406.8,130979,109113.5,129962.1,147448.3,182154.8,192105.3,0,170540.3,163938.4,226201.6,129397.8,151758.1,0,390124.5,0,317581.9,413436.9,0,372023.9,266363.4,0,250322.2,0,373749,0,0,0,526325.8,225595
"PosM1_0014","PosM1_CMP_033","C20H16N3O6","Synthetic feature 14",8.568,715.9771,159077.9,0,161224,0,144440,0,211312.3,0,0,152809.8,0,182763.8,99271.6,0,0,136925.5,197596.3,189641.7,0,0,145841.4,175207.2,141392.4,210275.5,115699.7,0,0,124203,0,137537.7
"PosM1_0015","PosM1_CMP_078","C7H7N3O6","Synthetic feature 15",6.093,931.2063,670135,668856.2,855331,654300.5,0,782283.4,621902.5,727602.8,853894.1,824791.3,656833.7,864315.5,760750.5,677466.4,459192.8,0,329840.8,356098,0,529126.9,267274.2,319415.4,242146.6,240218.5,277273.3,442163.1,296964.6,362723.4,174651.9,257648.5
"PosM1_0016","PosM1_CMP_038","C8H39N5O4","Synthetic feature 16",1.994,704.7104,646367.9,630748.9,556539.7,703190.7,490938,0,1055186.5,962610.2,599362.5,753554.2,0,755868.7,691825.6,816358.2,677754.8,762082.7,779434,1174769.6,1202260.1,1635702.4,825315.7,985273.9,585593.1,0,551761,700765.2,1111260.3,1254299,1076985.6,1112531.9
"PosM1_0017","PosM1_CMP_012","C30H23N0O3","Synthetic feature 17",8.77,514.0572,11300822.3,9553532.1,21429264.4,10478777.2,11206034.6,9684936.8,0,0,0,0,8103395.6,16938635.5,10463798.3,8282481.5,12965010.9,0,0,0,0,0,14135949,15969369,10249035.1,13008587.8,14634381.9,0,8423888.3,0,20471356.8,0
"PosM1_0018","PosM1_CMP_012","C27H29N0O2","Synthetic feature 18",17.68,153.3284,264298.9,183576.1,303093.6,213793.2,219606.5,437399.8,607377.2,411087.5,563000.9,405480.6,187695.6,381515.4,207579.4,228747.5,189617.6,630336,519609.3,480764.6,575840.2,483339.6,290544.6,321721.1,250647.8,206383.4,238485.2,542956.9,583149.1,688951,658441.3,0
"PosM1_0019","PosM1_CMP_031","C26H37N5O9","Synthetic feature 19",12.671,99.1082,1771504.3,1398618,1851811.4,1789332.7,1210105.3,1255006.7,1604369.3,1632080.4,1495819,2030503.1,1374666.6,1821284.5,1442634.4,1885820.9,1742110.9,3196287.9,3816319.1,4087208.2,0,3945209.4,4822484.9,0,4781510.9,6074048.2,3235918.5,6190036.6,3145122.6,4180170.8,4258775.9,5770716.6
"PosM1_0020","PosM1_CMP_035","C7H39N4O5","Synthetic feature 20",15.052,681.5815,395684.3,409854,469526.7,410702.5,285067.7,406554.6,413103.6,473977,458477.9,333358.3,462120.7,283513.9,335472,522076.7,455887.2,924072.2,692986.7,956745.6,424837.7,881629.9,1634813.3,715272.9,915891.5,909747.9,739385.2,897990.9,748227.9,1033289.3,699266.7,642316.9
"PosM1_0021","PosM1_CMP_052","C27H44N3O8","Synthetic feature 21",1.333,260.74,7195892.8,8726949.2,11412469.3,10599592,8955117.4,0,0,5938366.1,7450989.1,0,10412345.6,8361501.9,9749199.2,7394867.8,11912543.2,4361880.5,0,0,0,0,6546369.9,9921874.2,9119316.7,8038030.2,5971327.6,0,0,0,0,7311756.3
"PosM1_0022","PosM1_CMP_048","C8H40N0O5","Synthetic feature 22",7.61,525.9773,1912365.5,2055318.1,1709911.2,1604385.4,1642185,2584664.5,2570742.5,1994540.4,2290626.1,1722708.4,1977930.2,2125779.7,1631183.5,2203969.3,2817902.6,4172210.8,4788369,3492465.1,5580433.4,4040247.8,7507860.2,6120137.5,5439323.3,2896777.7,2702018.4,6821719.7,6030404,6640947.7,4223562.9,5780340.8
"PosM1_0023","PosM1_CMP_022","C23H17N0O5","Synthetic feature 23",11.062,924.8449,10532271.2,11919572.5,10762503.6,8439283.4,7705997.6,12531904.7,13363506.1,8194385.7,9600614,5067269.5,5659478.8,6683879.1,9211665.4,8057149.3,7842816.4,2833061.2,2022759.9,3091897,3512492.1,2014390.9,2128161.8,2678068.7,2178252.1,2855171.6,0,2371721.3,1511123.6,2559060.3,2910509.2,3034750.9
"PosM1_0024","PosM1_CMP_066","C22H38N3O2","Synthetic feature 24",13.611,340.213,1326643.2,1533701,1325542.5,2320942,1112846.8,1169642.5,0,0,0,0,1412242.7,1185383.8,1461619.1,1851200.2,1715936.2,0,0,0,2737198.5,1938324.6,1430445.9,2898545.8,1589134.7,1867933.3,2090194.3,0,0,3070653.3,0,1581709.9
"PosM1_0025","PosM1_CMP_061","C30H25N5O3","Synthetic feature 25",4.113,860.6302,4502778,2780909.1,5874267.5,4654809,2319926.3,3204937,3126327,2213732.4,2778137,2904520.7,2345398.7,4579160,2713786,0,2743413.7,2076209.6,1620882.2,1935594.2,2882067,2672612.2,3075484.5,2988245.9,1993191.6,3207896.5,2522273.9,2292877,2515291.2,3642221.6,1823133.7,2558220.5
"PosM1_0026","PosM1_CMP_077","C11H22N1O9","Synthetic feature 26",17.506,694.1374,979270.5,1386308.1,1270150.6,1154209.9,1221599.5,953199.4,1246791.1,1416368.3,1065970.7,996686.5,1158520.3,1274164.2,975232.7,1217306.7,487007.3,1385771.2,2283973.5,1758160.9,2263462,1977152,1228766.9,2577958.3,2285356.5,1718327.8,1784032.7,1785296.8,1456640.2,1368579.6,2143038.4,1581723.3
"PosM1_0027","PosM1_CMP_007","C15H34N3O8","Synthetic feature 27",3.256,691.6403,2179148.9,2440226.3,1652124.6,1547474.7,2009211.1,2248521.1,2215301.7,1979846,1452279.6,1329124.2,2791958.2,2311937.4,2048087.6,2553618.7,2906211,5825252.4,7785231.2,4897204.8,4238669.2,3991106.4,4875987.7,5555810.4,6776841.7,5232367,4951323.8,5857648.8,6351133.7,6642080.6,4389770.4,4956358
"PosM1_0028","PosM1_CMP_030","C8H43N2O8","Synthetic feature 28",4.863,288.6864,277462.1,312243.5,293291.9,335729.1,389199.6,542253.3,0,556910.8,477916.9,290325.5,527054,465593.9,411876.4,499868.5,428565.7,313554.2,349140.4,287328.9,335070,219737.1,350480.1,320153.1,391686.2,315595.9,386704.9,232865.4,248109,390425.8,348639.4,312736.2
"PosM1_0029","PosM1_CMP_059","C19H45N1O7","Synthetic feature 29",8.969,425.8829,60923.6,67419,102969,115467.9,141558.7,115086.9,128949.9,125147.1,129249,88642.7,140588.7,93036.4,123993.8,112420.9,106588.9,171524.8,212717.1,214059.1,121173.6,132498.1,140942.6,229078.8,176142.1,139420.5,134252.8,137787,128433.7,126957,152601,168454.9
"PosM1_0030","PosM1_CMP_006","C13H9N4O2","Synthetic feature 30",15.995,142.8188,665490.4,424360.3,1009301.8,0,477992.6,212301.6,0,331571.4,269525.8,265139.1,796014.8,398736.5,626861,908665.6,650061.8,106504.5,75512.4,95701.3,108410.5,75153.3,124394.6,146964.8,103204.1,123834,107639.8,73473.4,97446.2,71504.4,58692.7,86169.4
"PosM1_0031","PosM1_CMP_040","C12H11N5O9","Synthetic feature 31",15.48,694.0659,279020.9,586903.8,664925.8,364788.8,325117.1,334369.9,0,0,0,480606.9,349087.2,201290.1,315202.6,462607.6,383294.8,0,0,0,0,0,379592.9,591316.6,597534.3,458949.3,376715.1,251281.7,0,0,526585.3,0
"PosM1_0032","PosM1_CMP_034","C17H11N0O5","Synthetic feature 32",12.728,691.249,143326.9,143977.6,141283.3,132001.3,222224.6,119318.6,179398.5,143274.6,150455,104653.9,117741.7,169933.3,198622.1,181431.4,145123.1,78963.7,99435.1,101730.5,138823.4,103099.2,143451.5,122612.6,146132.1,119297.8,100116.6,125816.3,78941.6,136786.8,125501,149785.7
"PosM1_0033","PosM1_CMP_001","C26H49N2O8","Synthetic feature 33",3.826,707.3556,3274007.6,3038059.2,2902710.9,2315393.2,4117120.7,3077956.5,2090724,4278114.5,2852755.4,0,4875036.1,2479141.7,3090745.9,4161823.5,2366366.8,661250.7,1208710.9,828041.8,612237,625755.4,582685.7,755378.9,967410.5,902848.2,0,949198.6,1370911.5,1026752.6,1777663.2,732596.4
"PosM1_0034","PosM1_CMP_059","C7H42N1O2","Synthetic feature 34",8.331,297.0187,726161.6,0,657860.2,855483,634551.1,914606.2,773597.6,747714.5,791631.1,951511.1,850026,0,770817.9,0,844088.5,927098.4,756005.9,1114402.9,909605.3,730300.4,811685,639896.5,1603901.7,700814.5,1176158.8,735504.4,847860.2,656267.3,854757.5,629838.6
"PosM1_0035","PosM1_CMP_019","C28H14N2O4","Synthetic feature 35",10.358,401.1225,700239.6,1011256.8,0,722218.9,0,0,0,679198.5,0,0,825397.8,892790,761173.3,839264.9,925458.7,0,0,0,0,303995.2,376206,344704.7,416536.4,399717.5,377985,0,0,0,0,476507.4
"PosM1_0036","PosM1_CMP_013","C27H7N2O7","Synthetic feature 36",6.855,884.7705,3086259.1,4155228.8,0,4242445.9,4075323.5,3781048.9,4085552,5183697.9,5920446.3,3144743.7,6154364,4098292.1,3040455,5791511.8,3163411.2,5775106.3,10939197.4,12303812.9,11242701.9,10677426.3,10048974.5,13238836.1,10694364.6,9050764.6,8995781.4,9145359,10365629.6,7775424.3,10729548.4,10147217.2
